Timestamp,"Are you familiar with the term ""food insecurity?""",***NON-FIRST YEARS: Approximately how much $ were you left with in your top up meal plan account at the end of first year?,"***NON-FIRST YEARS: If you have any money left over in your top up account, approximately how much do you think you have?",***FIRST YEARS: Approximately how much $ are you left with in your top up meal plan account right now,"If given the option to donate the remaining $ to your food insecure peers at Western, how much would you donate?",***FACULTY/STAFF: Approximately how much $ are you left with in your top up meal plan account right now,Food_Insecurity_Familiarity,Upper_Year_Dollars_Remaining_At_End_Of_First_Year,Upper_Year_Dollars_Remaining_Now,First_Year_Dollar_Remaining_Now,Donation_Percentage,Faculty_Staff_Dollar_Remaining_Now,Donation_Amount
2024-02-28 14:43:57,Yes I know what it is,>$1000 (greater than $1000),>$1000 (greater than $1000),,5% of remaining funds,,Yes I know what it is,1250.0,1250.0,,0.05,,
2024-02-28 14:47:46,I have heard of it,,,$200 - $1000,10% of remaining funds,,I have heard of it,,,600.0,0.1,,60.0
2024-02-28 14:50:14,Yes I know what it is,,$100 - $1000,,100% - Drain the account and donate all of it,,Yes I know what it is,,550.0,,1.0,,
2024-02-28 14:54:16,Yes I know what it is,$200 - $1000,Less than $10,,0,,Yes I know what it is,600.0,5.0,,,,
2024-02-28 14:56:32,Yes I know what it is,Finished it in residence,Less than $10,,0,,Yes I know what it is,0.0,5.0,,,,
2024-02-28 14:57:13,Yes I know what it is,<$50,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,25.0,5.0,,0.35,,
2024-02-28 15:10:07,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,0,,Yes I know what it is,0.0,5.0,0.0,,,
2024-02-28 15:10:56,Yes I know what it is,$200 - $1000,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,600.0,5.0,,0.35,,
2024-02-28 15:11:26,Yes I know what it is,,,>$1000 (greater than $1000),10% of remaining funds,,Yes I know what it is,,,1250.0,0.1,,125.0
2024-02-28 15:11:29,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-28 15:13:20,I have heard of it,Finished it in residence,Less than $10,Finished it in residence,50% - 90%,,I have heard of it,0.0,5.0,0.0,0.7,,0.0
2024-02-28 15:13:36,I have heard of it,,,$200 - $1000,5% of remaining funds,,I have heard of it,,,600.0,0.05,,30.0
2024-02-28 15:21:36,Yes I know what it is,>$1000 (greater than $1000),,,,,Yes I know what it is,1250.0,,,,,
2024-02-28 15:26:29,Yes I know what it is,<$50,$10 - $50,<$50,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,25.0,1.0,,25.0
2024-02-28 15:29:34,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-28 15:31:54,Yes I know what it is,$50 - $200,Less than $10,,0,,Yes I know what it is,125.0,5.0,,,,
2024-02-28 15:33:58,Yes I know what it is,<$50,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,,1.0,,
2024-02-28 15:35:06,Yes I know what it is,$50 - $200,Less than $10,<$50,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,25.0,1.0,,25.0
2024-02-28 15:36:13,Yes I know what it is,$50 - $200,Less than $10,,10% of remaining funds,,Yes I know what it is,125.0,5.0,,0.1,,
2024-02-28 15:36:13,Yes I know what it is,$50 - $200,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,125.0,5.0,,0.35,,
2024-02-28 15:36:44,I have heard of it,$200 - $1000,$50 - $100,,0,,I have heard of it,600.0,75.0,,,,
2024-02-28 15:37:32,Yes I know what it is,Finished it in residence,,,20% - 50% of remaining funds,,Yes I know what it is,0.0,,,0.35,,
2024-02-28 15:39:22,Yes I know what it is,$200 - $1000,Less than $10,,10% of remaining funds,,Yes I know what it is,600.0,5.0,,0.1,,
2024-02-28 15:42:56,Yes I know what it is,Finished it in residence,,,,,Yes I know what it is,0.0,,,,,
2024-02-28 15:45:47,No clue,,,$200 - $1000,0,,No clue,,,600.0,,,
2024-02-28 15:46:17,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-28 15:46:48,Yes I know what it is,>$1000 (greater than $1000),Less than $10,,5% of remaining funds,,Yes I know what it is,1250.0,5.0,,0.05,,
2024-02-28 15:47:36,Yes I know what it is,$50 - $200,$50 - $100,$50 - $200,20% - 50% of remaining funds,,Yes I know what it is,125.0,75.0,125.0,0.35,,43.75
2024-02-28 15:47:50,No clue,$200 - $1000,$50 - $100,$50 - $200,0,,No clue,600.0,75.0,125.0,,,
2024-02-28 15:51:00,Yes I know what it is,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,,1.0,,
2024-02-28 15:51:35,Yes I know what it is,<$50,,,0,,Yes I know what it is,25.0,,,,,
2024-02-28 15:52:18,Yes I know what it is,,,,20% - 50% of remaining funds,,Yes I know what it is,,,,0.35,,
2024-02-28 15:53:05,Yes I know what it is,,,$50 - $200,5% of remaining funds,,Yes I know what it is,,,125.0,0.05,,6.25
2024-02-28 15:53:33,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-28 15:59:27,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-28 16:01:33,I have heard of it,$50 - $200,Less than $10,,5% of remaining funds,,I have heard of it,125.0,5.0,,0.05,,
2024-02-28 16:03:44,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-02-28 16:06:32,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-28 16:06:34,Yes I know what it is,$200 - $1000,Less than $10,,0,,Yes I know what it is,600.0,5.0,,,,
2024-02-28 16:09:38,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-02-28 16:09:40,Yes I know what it is,Finished it in residence,$100 - $1000,,0,,Yes I know what it is,0.0,550.0,,,,
2024-02-28 16:12:50,Yes I know what it is,$200 - $1000,$50 - $100,,15% of remaining funds,,Yes I know what it is,600.0,75.0,,0.15,,
2024-02-28 16:13:05,Yes I know what it is,<$50,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,,1.0,,
2024-02-28 16:16:33,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-28 16:17:35,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-28 16:20:14,Yes I know what it is,$200 - $1000,,,5% of remaining funds,,Yes I know what it is,600.0,,,0.05,,
2024-02-28 16:22:20,Yes I know what it is,>$1000 (greater than $1000),Less than $10,,0,,Yes I know what it is,1250.0,5.0,,,,
2024-02-28 16:23:41,Yes I know what it is,$200 - $1000,$100 - $1000,,20% - 50% of remaining funds,,Yes I know what it is,600.0,550.0,,0.35,,
2024-02-28 16:25:37,No clue,,,$200 - $1000,5% of remaining funds,,No clue,,,600.0,0.05,,30.0
2024-02-28 16:32:29,Yes I know what it is,>$1000 (greater than $1000),$100 - $1000,,5% of remaining funds,,Yes I know what it is,1250.0,550.0,,0.05,,
2024-02-28 16:41:20,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-02-28 16:56:44,Yes I know what it is,,,$200 - $1000,0,,Yes I know what it is,,,600.0,,,
2024-02-28 17:04:37,No clue,,,,100% - Drain the account and donate all of it,,No clue,,,,1.0,,
2024-02-28 17:04:37,No clue,<$50,Less than $10,,100% - Drain the account and donate all of it,,No clue,25.0,5.0,,1.0,,
2024-02-28 17:04:47,Yes I know what it is,$50 - $200,$50 - $100,$50 - $200,50% - 90%,,Yes I know what it is,125.0,75.0,125.0,0.7,,87.5
2024-02-28 17:05:13,Yes I know what it is,$200 - $1000,$10 - $50,,5% of remaining funds,,Yes I know what it is,600.0,30.0,,0.05,,
2024-02-28 17:05:28,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-28 17:10:03,Yes I know what it is,,,Finished it in residence,0,,Yes I know what it is,,,0.0,,,
2024-02-28 17:20:48,No clue,$200 - $1000,$100 - $1000,,0,,No clue,600.0,550.0,,,,
2024-02-28 17:21:47,Yes I know what it is,$200 - $1000,,,5% of remaining funds,,Yes I know what it is,600.0,,,0.05,,
2024-02-28 17:23:33,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-28 17:32:18,Yes I know what it is,$200 - $1000,Less than $10,,5% of remaining funds,,Yes I know what it is,600.0,5.0,,0.05,,
2024-02-28 17:34:28,Yes I know what it is,$50 - $200,$10 - $50,,50% - 90%,,Yes I know what it is,125.0,30.0,,0.7,,
2024-02-28 17:40:39,I have heard of it,,,$200 - $1000,15% of remaining funds,,I have heard of it,,,600.0,0.15,,90.0
2024-02-28 17:40:43,Yes I know what it is,,,$200 - $1000,0,,Yes I know what it is,,,600.0,,,
2024-02-28 17:40:44,Yes I know what it is,$200 - $1000,$100 - $1000,,15% of remaining funds,,Yes I know what it is,600.0,550.0,,0.15,,
2024-02-28 17:44:34,Yes I know what it is,$50 - $200,$100 - $1000,$200 - $1000,0,,Yes I know what it is,125.0,550.0,600.0,,,
2024-02-28 17:46:27,Yes I know what it is,$200 - $1000,$100 - $1000,,20% - 50% of remaining funds,,Yes I know what it is,600.0,550.0,,0.35,,
2024-02-28 17:46:56,Yes I know what it is,$200 - $1000,,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,,,1.0,,
2024-02-28 17:48:02,I have heard of it,,,$200 - $1000,10% of remaining funds,,I have heard of it,,,600.0,0.1,,60.0
2024-02-28 17:55:27,Yes I know what it is,$50 - $200,$10 - $50,,50% - 90%,,Yes I know what it is,125.0,30.0,,0.7,,
2024-02-28 17:57:02,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,5% of remaining funds,,Yes I know what it is,0.0,5.0,0.0,0.05,,0.0
2024-02-28 18:21:16,Yes I know what it is,,,$200 - $1000,50% - 90%,,Yes I know what it is,,,600.0,0.7,,420.0
2024-02-28 18:36:54,Yes I know what it is,,,$200 - $1000,100% - Drain the account and donate all of it,,Yes I know what it is,,,600.0,1.0,,600.0
2024-02-28 18:37:01,Yes I know what it is,,,,20% - 50% of remaining funds,,Yes I know what it is,,,,0.35,,
2024-02-28 18:37:01,No clue,,,$50 - $200,5% of remaining funds,,No clue,,,125.0,0.05,,6.25
2024-02-28 18:37:01,Yes I know what it is,,,$50 - $200,20% - 50% of remaining funds,,Yes I know what it is,,,125.0,0.35,,43.75
2024-02-28 18:37:02,Yes I know what it is,,,Finished it in residence,5% of remaining funds,,Yes I know what it is,,,0.0,0.05,,0.0
2024-02-28 18:37:08,No clue,Finished it in residence,Less than $10,,0,,No clue,0.0,5.0,,,,
2024-02-28 18:37:12,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-28 18:37:13,Yes I know what it is,,,>$1000 (greater than $1000),10% of remaining funds,,Yes I know what it is,,,1250.0,0.1,,125.0
2024-02-28 18:37:14,Yes I know what it is,,,$200 - $1000,100% - Drain the account and donate all of it,,Yes I know what it is,,,600.0,1.0,,600.0
2024-02-28 18:37:17,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-28 18:37:17,Yes I know what it is,,,$200 - $1000,20% - 50% of remaining funds,,Yes I know what it is,,,600.0,0.35,,210.0
2024-02-28 18:37:18,Yes I know what it is,,,$50 - $200,5% of remaining funds,,Yes I know what it is,,,125.0,0.05,,6.25
2024-02-28 18:37:18,Yes I know what it is,,,$200 - $1000,0,,Yes I know what it is,,,600.0,,,
2024-02-28 18:37:19,I have heard of it,,,<$50,10% of remaining funds,,I have heard of it,,,25.0,0.1,,2.5
2024-02-28 18:37:19,No clue,,,$200 - $1000,0,,No clue,,,600.0,,,
2024-02-28 18:37:20,Yes I know what it is,,,,,,Yes I know what it is,,,,,,
2024-02-28 18:37:20,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-28 18:37:20,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-28 18:37:22,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-28 18:37:22,Yes I know what it is,,,$200 - $1000,0,,Yes I know what it is,,,600.0,,,
2024-02-28 18:37:22,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-28 18:37:23,Yes I know what it is,$200 - $1000,Less than $10,,0,,Yes I know what it is,600.0,5.0,,,,
2024-02-28 18:37:24,I have heard of it,,,$200 - $1000,15% of remaining funds,,I have heard of it,,,600.0,0.15,,90.0
2024-02-28 18:37:24,Yes I know what it is,,Less than $10,$50 - $200,10% of remaining funds,,Yes I know what it is,,5.0,125.0,0.1,,12.5
2024-02-28 18:37:24,Yes I know what it is,,,>$1000 (greater than $1000),10% of remaining funds,,Yes I know what it is,,,1250.0,0.1,,125.0
2024-02-28 18:37:24,Yes I know what it is,,,$200 - $1000,15% of remaining funds,,Yes I know what it is,,,600.0,0.15,,90.0
2024-02-28 18:37:25,No clue,,,$200 - $1000,15% of remaining funds,,No clue,,,600.0,0.15,,90.0
2024-02-28 18:37:26,Yes I know what it is,,,$50 - $200,10% of remaining funds,,Yes I know what it is,,,125.0,0.1,,12.5
2024-02-28 18:37:27,Yes I know what it is,,,$200 - $1000,15% of remaining funds,,Yes I know what it is,,,600.0,0.15,,90.0
2024-02-28 18:37:28,Yes I know what it is,,,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,,,0.0,1.0,,0.0
2024-02-28 18:37:28,Yes I know what it is,,,$200 - $1000,0,,Yes I know what it is,,,600.0,,,
2024-02-28 18:37:29,I have heard of it,,,$200 - $1000,100% - Drain the account and donate all of it,,I have heard of it,,,600.0,1.0,,600.0
2024-02-28 18:37:29,I have heard of it,,,$200 - $1000,5% of remaining funds,,I have heard of it,,,600.0,0.05,,30.0
2024-02-28 18:37:31,Yes I know what it is,,,$200 - $1000,100% - Drain the account and donate all of it,,Yes I know what it is,,,600.0,1.0,,600.0
2024-02-28 18:37:32,Yes I know what it is,,,$200 - $1000,100% - Drain the account and donate all of it,,Yes I know what it is,,,600.0,1.0,,600.0
2024-02-28 18:37:32,No clue,,,Finished it in residence,100% - Drain the account and donate all of it,,No clue,,,0.0,1.0,,0.0
2024-02-28 18:37:32,Yes I know what it is,,,$200 - $1000,20% - 50% of remaining funds,,Yes I know what it is,,,600.0,0.35,,210.0
2024-02-28 18:37:32,I have heard of it,,,<$50,10% of remaining funds,,I have heard of it,,,25.0,0.1,,2.5
2024-02-28 18:37:32,Yes I know what it is,,,,50% - 90%,,Yes I know what it is,,,,0.7,,
2024-02-28 18:37:33,Yes I know what it is,,,Finished it in residence,5% of remaining funds,,Yes I know what it is,,,0.0,0.05,,0.0
2024-02-28 18:37:34,Yes I know what it is,,,$200 - $1000,20% - 50% of remaining funds,,Yes I know what it is,,,600.0,0.35,,210.0
2024-02-28 18:37:34,Yes I know what it is,,,>$1000 (greater than $1000),15% of remaining funds,,Yes I know what it is,,,1250.0,0.15,,187.5
2024-02-28 18:37:34,Yes I know what it is,,,$200 - $1000,0,,Yes I know what it is,,,600.0,,,
2024-02-28 18:37:34,No clue,,,$200 - $1000,5% of remaining funds,,No clue,,,600.0,0.05,,30.0
2024-02-28 18:37:34,Yes I know what it is,,,Finished it in residence,15% of remaining funds,,Yes I know what it is,,,0.0,0.15,,0.0
2024-02-28 18:37:35,Yes I know what it is,,,Finished it in residence,0,,Yes I know what it is,,,0.0,,,
2024-02-28 18:37:35,Yes I know what it is,Finished it in residence,Less than $10,$200 - $1000,5% of remaining funds,,Yes I know what it is,0.0,5.0,600.0,0.05,,30.0
2024-02-28 18:37:36,Yes I know what it is,,,$50 - $200,5% of remaining funds,,Yes I know what it is,,,125.0,0.05,,6.25
2024-02-28 18:37:36,No clue,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,No clue,125.0,5.0,,1.0,,
2024-02-28 18:37:37,I have heard of it,,,$200 - $1000,15% of remaining funds,,I have heard of it,,,600.0,0.15,,90.0
2024-02-28 18:37:37,Yes I know what it is,,,Finished it in residence,5% of remaining funds,,Yes I know what it is,,,0.0,0.05,,0.0
2024-02-28 18:37:38,,,,Finished it in residence,0,,,,,0.0,,,
2024-02-28 18:37:38,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-28 18:37:38,I have heard of it,Finished it in residence,,$50 - $200,0,,I have heard of it,0.0,,125.0,,,
2024-02-28 18:37:38,I have heard of it,Finished it in residence,Less than $10,,0,,I have heard of it,0.0,5.0,,,,
2024-02-28 18:37:38,No clue,,,,0,,No clue,,,,,,
2024-02-28 18:37:38,I have heard of it,,,,5% of remaining funds,,I have heard of it,,,,0.05,,
2024-02-28 18:37:38,Yes I know what it is,,,<$50,10% of remaining funds,,Yes I know what it is,,,25.0,0.1,,2.5
2024-02-28 18:37:39,Yes I know what it is,,,>$1000 (greater than $1000),10% of remaining funds,,Yes I know what it is,,,1250.0,0.1,,125.0
2024-02-28 18:37:40,Yes I know what it is,,,$50 - $200,5% of remaining funds,,Yes I know what it is,,,125.0,0.05,,6.25
2024-02-28 18:37:40,Yes I know what it is,,,<$50,100% - Drain the account and donate all of it,,Yes I know what it is,,,25.0,1.0,,25.0
2024-02-28 18:37:41,Yes I know what it is,,,<$50,0,,Yes I know what it is,,,25.0,,,
2024-02-28 18:37:41,I have heard of it,,,>$1000 (greater than $1000),5% of remaining funds,,I have heard of it,,,1250.0,0.05,,62.5
2024-02-28 18:37:41,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,0,,Yes I know what it is,0.0,5.0,0.0,,,
2024-02-28 18:37:42,I have heard of it,$200 - $1000,Less than $10,,10% of remaining funds,,I have heard of it,600.0,5.0,,0.1,,
2024-02-28 18:37:42,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-28 18:37:43,Yes I know what it is,,,$50 - $200,100% - Drain the account and donate all of it,,Yes I know what it is,,,125.0,1.0,,125.0
2024-02-28 18:37:45,I have heard of it,,Less than $10,<$50,10% of remaining funds,,I have heard of it,,5.0,25.0,0.1,,2.5
2024-02-28 18:37:46,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-28 18:37:47,Yes I know what it is,Finished it in residence,,Finished it in residence,5% of remaining funds,,Yes I know what it is,0.0,,0.0,0.05,,0.0
2024-02-28 18:37:48,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-28 18:37:48,I have heard of it,,,$200 - $1000,5% of remaining funds,,I have heard of it,,,600.0,0.05,,30.0
2024-02-28 18:37:48,I have heard of it,,,>$1000 (greater than $1000),5% of remaining funds,,I have heard of it,,,1250.0,0.05,,62.5
2024-02-28 18:37:51,Yes I know what it is,Finished it in residence,Less than $10,$200 - $1000,5% of remaining funds,,Yes I know what it is,0.0,5.0,600.0,0.05,,30.0
2024-02-28 18:37:53,No clue,,,$50 - $200,5% of remaining funds,,No clue,,,125.0,0.05,,6.25
2024-02-28 18:37:53,Yes I know what it is,,,<$50,0,,Yes I know what it is,,,25.0,,,
2024-02-28 18:37:53,Yes I know what it is,,,<$50,0,,Yes I know what it is,,,25.0,,,
2024-02-28 18:37:59,I have heard of it,,,$200 - $1000,5% of remaining funds,,I have heard of it,,,600.0,0.05,,30.0
2024-02-28 18:38:00,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-28 18:38:01,Yes I know what it is,,,$200 - $1000,,,Yes I know what it is,,,600.0,,,
2024-02-28 18:38:01,I have heard of it,,,$50 - $200,10% of remaining funds,,I have heard of it,,,125.0,0.1,,12.5
2024-02-28 18:38:03,Yes I know what it is,Finished it in residence,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,30.0,,1.0,,
2024-02-28 18:38:04,Yes I know what it is,,,$200 - $1000,100% - Drain the account and donate all of it,,Yes I know what it is,,,600.0,1.0,,600.0
2024-02-28 18:38:07,I have heard of it,,,$200 - $1000,100% - Drain the account and donate all of it,,I have heard of it,,,600.0,1.0,,600.0
2024-02-28 18:38:09,Yes I know what it is,,,$50 - $200,0,,Yes I know what it is,,,125.0,,,
2024-02-28 18:38:12,No clue,$200 - $1000,,>$1000 (greater than $1000),10% of remaining funds,,No clue,600.0,,1250.0,0.1,,125.0
2024-02-28 18:38:13,I have heard of it,,,$200 - $1000,10% of remaining funds,,I have heard of it,,,600.0,0.1,,60.0
2024-02-28 18:38:13,Yes I know what it is,Finished it in residence,,,15% of remaining funds,,Yes I know what it is,0.0,,,0.15,,
2024-02-28 18:38:14,Yes I know what it is,,Less than $10,$50 - $200,0,,Yes I know what it is,,5.0,125.0,,,
2024-02-28 18:38:14,I have heard of it,,,$50 - $200,0,,I have heard of it,,,125.0,,,
2024-02-28 18:38:15,Yes I know what it is,,,>$1000 (greater than $1000),10% of remaining funds,,Yes I know what it is,,,1250.0,0.1,,125.0
2024-02-28 18:38:17,I have heard of it,,,<$50,20% - 50% of remaining funds,,I have heard of it,,,25.0,0.35,,8.75
2024-02-28 18:38:19,Yes I know what it is,,,>$1000 (greater than $1000),0,,Yes I know what it is,,,1250.0,,,
2024-02-28 18:38:20,Yes I know what it is,,,>$1000 (greater than $1000),10% of remaining funds,,Yes I know what it is,,,1250.0,0.1,,125.0
2024-02-28 18:38:20,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-28 18:38:21,Yes I know what it is,,,Finished it in residence,5% of remaining funds,,Yes I know what it is,,,0.0,0.05,,0.0
2024-02-28 18:38:22,Yes I know what it is,,,$50 - $200,5% of remaining funds,,Yes I know what it is,,,125.0,0.05,,6.25
2024-02-28 18:38:22,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-02-28 18:38:23,No clue,,,$200 - $1000,5% of remaining funds,,No clue,,,600.0,0.05,,30.0
2024-02-28 18:38:24,I have heard of it,,,$200 - $1000,5% of remaining funds,,I have heard of it,,,600.0,0.05,,30.0
2024-02-28 18:38:24,I have heard of it,$50 - $200,Less than $10,$50 - $200,0,,I have heard of it,125.0,5.0,125.0,,,
2024-02-28 18:38:30,Yes I know what it is,,,$50 - $200,5% of remaining funds,,Yes I know what it is,,,125.0,0.05,,6.25
2024-02-28 18:38:33,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,5% of remaining funds,,Yes I know what it is,0.0,5.0,0.0,0.05,,0.0
2024-02-28 18:38:34,I have heard of it,,,$200 - $1000,10% of remaining funds,,I have heard of it,,,600.0,0.1,,60.0
2024-02-28 18:38:36,I have heard of it,,,$200 - $1000,10% of remaining funds,,I have heard of it,,,600.0,0.1,,60.0
2024-02-28 18:38:36,Yes I know what it is,Finished it in residence,$10 - $50,$200 - $1000,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,30.0,600.0,1.0,,600.0
2024-02-28 18:38:42,Yes I know what it is,,,$200 - $1000,50% - 90%,,Yes I know what it is,,,600.0,0.7,,420.0
2024-02-28 18:38:47,Yes I know what it is,,,$50 - $200,5% of remaining funds,,Yes I know what it is,,,125.0,0.05,,6.25
2024-02-28 18:38:54,No clue,,,$200 - $1000,0,,No clue,,,600.0,,,
2024-02-28 18:38:58,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-28 18:39:03,I have heard of it,,,$200 - $1000,50% - 90%,,I have heard of it,,,600.0,0.7,,420.0
2024-02-28 18:39:23,Yes I know what it is,>$1000 (greater than $1000),,,15% of remaining funds,,Yes I know what it is,1250.0,,,0.15,,
2024-02-28 18:43:41,I have heard of it,,,$200 - $1000,5% of remaining funds,,I have heard of it,,,600.0,0.05,,30.0
2024-02-28 18:44:33,Yes I know what it is,,,$50 - $200,20% - 50% of remaining funds,,Yes I know what it is,,,125.0,0.35,,43.75
2024-02-28 18:44:53,Yes I know what it is,$200 - $1000,Less than $10,,0,,Yes I know what it is,600.0,5.0,,,,
2024-02-28 19:00:03,I have heard of it,$50 - $200,Less than $10,,0,,I have heard of it,125.0,5.0,,,,
2024-02-28 19:04:48,Yes I know what it is,,,,,,Yes I know what it is,,,,,,
2024-02-28 19:10:13,Yes I know what it is,$200 - $1000,,,10% of remaining funds,,Yes I know what it is,600.0,,,0.1,,
2024-02-28 19:12:17,Yes I know what it is,<$50,Less than $10,,0,,Yes I know what it is,25.0,5.0,,,,
2024-02-28 19:13:19,I have heard of it,$50 - $200,Less than $10,,10% of remaining funds,,I have heard of it,125.0,5.0,,0.1,,
2024-02-28 19:15:06,Yes I know what it is,$200 - $1000,,,5% of remaining funds,,Yes I know what it is,600.0,,,0.05,,
2024-02-28 19:27:53,Yes I know what it is,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,,1.0,,
2024-02-28 19:30:17,Yes I know what it is,,,$200 - $1000,20% - 50% of remaining funds,,Yes I know what it is,,,600.0,0.35,,210.0
2024-02-28 19:34:09,Yes I know what it is,$50 - $200,$10 - $50,,20% - 50% of remaining funds,,Yes I know what it is,125.0,30.0,,0.35,,
2024-02-28 19:35:19,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-28 19:35:36,Yes I know what it is,$50 - $200,$50 - $100,$50 - $200,50% - 90%,,Yes I know what it is,125.0,75.0,125.0,0.7,,87.5
2024-02-28 19:46:26,No clue,,,$50 - $200,5% of remaining funds,,No clue,,,125.0,0.05,,6.25
2024-02-28 19:54:50,Yes I know what it is,$200 - $1000,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,600.0,5.0,,0.35,,
2024-02-28 20:11:15,Yes I know what it is,,,>$1000 (greater than $1000),0,,Yes I know what it is,,,1250.0,,,
2024-02-28 20:28:50,Yes I know what it is,,,<$50,0,,Yes I know what it is,,,25.0,,,
2024-02-28 21:17:31,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-28 21:20:17,Yes I know what it is,$200 - $1000,,,5% of remaining funds,,Yes I know what it is,600.0,,,0.05,,
2024-02-28 21:29:35,Yes I know what it is,<$50,Less than $10,,5% of remaining funds,,Yes I know what it is,25.0,5.0,,0.05,,
2024-02-28 21:29:41,Yes I know what it is,,,,5% of remaining funds,,Yes I know what it is,,,,0.05,,
2024-02-28 21:31:03,Yes I know what it is,$200 - $1000,Less than $10,,5% of remaining funds,,Yes I know what it is,600.0,5.0,,0.05,,
2024-02-28 21:46:19,Yes I know what it is,$50 - $200,Less than $10,,50% - 90%,,Yes I know what it is,125.0,5.0,,0.7,,
2024-02-28 21:52:54,Yes I know what it is,Finished it in residence,,,10% of remaining funds,,Yes I know what it is,0.0,,,0.1,,
